Title,Author,Published_Date,Description
LIVE FREE OR DIE,Sean Hannity,Date non disponible,"The Fox News host offers his assessment on what is at stake in the 2020 election. Read by the author. 11 hours, 10 minutes unabridged."
BECOMING,Michelle Obama,Date non disponible,"The former first lady describes how she balanced work, family and her husband’s political ascent. Read by the author. 19 hours, 3 minutes unabridged."
HOW TO BE AN ANTIRACIST,Ibram X. Kendi,Date non disponible,"A primer for creating a more just and equitable society through identifying and opposing racism. Read by the author. 10 hours, 43 minutes unabridged."
BREATH,James Nestor,Date non disponible,"A re-examination of a basic biological function. Read by the author. 7 hours, 18 minutes unabridged."
WHITE FRAGILITY,Robin DiAngelo,Date non disponible,"Historical and cultural analyses on what causes defensive moves by white people. Read by Amy Landon. 6 hours, 21 minutes unabridged."
TALKING TO STRANGERS,Malcolm Gladwell,Date non disponible,"Famous examples of miscommunication serve as the backdrop to explain potential conflicts. Read by the author. 8 hours, 42 minutes unabridged."
FINDING FREEDOM,Omid Scobie and Carolyn Durand,Date non disponible,"The Duke and Duchess of Sussex’s journey from courtship to their decision to step away from their royal lives. Read by Omid Scobie. 10 hours, 29 minutes unabridged."
BORN A CRIME,Trevor Noah,Date non disponible,"A memoir about growing up in South Africa by the host of “The Daily Show.” Read by the author. 8 hours, 50 minutes unabridged."
EMPIRE OF THE SUMMER MOON,S.C. Gwynne,Date non disponible,"The story of Quanah Parker, the last chief of the Comanches. Read by David Drummond. 15 hours, 3 minutes unabridged."
THE TRUTHS WE HOLD,Kamala Harris,Date non disponible,"A memoir by the daughter of immigrants who is now a California senator and the 2020 Democratic candidate for vice president. Read by the author. 9 hours, 26 minutes unabridged."
IT WAS ALL A LIE,Stuart Stevens,Date non disponible,"The former political campaign strategist evaluates the changes within the Republican Party in the last half-century. Read by Dan John Miller. 5 hours, 37 minutes unabridged."
HOAX,Brian Stelter,Date non disponible,"The CNN anchor and chief media correspondent examines the inner workings of Fox News and its relationship with President Trump. Read by the author. 12 hours, 42 minutes unabridged."
ATOMIC HABITS,James Clear,Date non disponible,
EVIL GENIUSES,Kurt Andersen,Date non disponible,
DOESN'T HURT TO ASK,Trey Gowdy,Date non disponible,
DARE TO LEAD,Brené Brown,Date non disponible,
EXTREME OWNERSHIP,Jocko Willink and Leif Babin,Date non disponible,
OUTLIERS,Malcolm Gladwell,Date non disponible,
THE LAZY GENIUS WAY,Kendra Adachi,Date non disponible,
"THINKING, FAST AND SLOW",Daniel Kahneman,Date non disponible,
GRIT,Angela Duckworth,Date non disponible,
THE BIGGEST BLUFF,Maria Konnikova,Date non disponible,
NEW KID,Jerry Craft,Date non disponible,"Jordan Banks, an artistically inclined seventh grader from Washington Heights, has a tough time navigating an upscale private school where diversity is low and maintaining his neighborhood friendships."
GUTS,Raina Telgemeier,Date non disponible,Raina finds her tummy trouble might be more than it first appears to be when she goes back to school.
BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES,Ann M Martin,Date non disponible,"After taking a tumble, Karen sets out to get her friends and someone famous to sign her cast."
MARCH: BOOK ONE,John Lewis and Andrew Aydin,Date non disponible,Representative John Lewis describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.
THE UMBRELLA ACADEMY: APOCALYPSE SUITE,Gerard Way,Date non disponible,"When their benefactor suddenly dies, seven children with unusual superpowers reunite to save the world."
THE UMBRELLA ACADEMY: HOTEL OBLIVION,Gerard Way,Date non disponible,"A few years after Sir Reginald Hargreeves’s death, members of the Umbrella Academy have gone in different directions."
"MY HERO ACADEMIA, VOL. 1",Kohei Horikoshi,Date non disponible,"In a world full of of people who can develop superpowers, Izuku Midoriya is just a “normal” teenager. Will a chance encounter with a superhero change his fate? Most likely!"
PERSEPOLIS,Marjane Satrapi,Date non disponible,"A memoir of the author’s life from ages 6 to 14 in Iran, during and after its 1979 revolution, depicted through black-and-white comic strip images."
BECOMING BRIANNA,Terri Libenson,Date non disponible,The fourth book in the Emmie & Friends series. A middle school girl goes outside her comfort zone.
THE UMBRELLA ACADEMY: DALLAS,Gerard Way,Date non disponible,"The loss of a beloved mentor, maniacal assassins and a plot to assassinate John F. Kennedy bedevil the trouble-laden team."
STRANGER PLANET,Nathan W Pyle,Date non disponible,"A sequel to “Strange Planet” that explores the subjects of traditions, nature, emotions and knowledge."
"DEMON SLAYER: KIMETSU NO YAIBA, VOL. 1",Koyoharu Gotouge,Date non disponible,A young charcoal seller must avenge his family by destroying the demon that slaughtered them.
"CRITICAL ROLE, VOX MACHINA: ORIGINS, VOL. 2",Matt Mercer and Jody Houser,Date non disponible,A group of would-be superheroes come together in this collected edition.
AMERICAN BORN CHINESE,Gene Luen Yang,Date non disponible,"When his family moves to the suburbs, Jin Wang wonders why he doesn’t fit in with the “all-American boys” in his new school."
VENUS IN THE BLIND SPOT,Junji Ito,Date non disponible,"A collection of short horror tales including “The Enigma of Amigara Fault” and an adaptation of Rampo Edogawa’s “Human Chair."""
CHILD'S PLAY,Danielle Steel,Date non disponible,A prestigious New York lawyer learns that the life she constructed for her children and herself isn't exactly what she thought it was.
PARANOID,Lisa Jackson,Date non disponible,Past troubles resurface when a woman who unintentionally killed her half brother 20 years ago prepares for her high school reunion amid a string of potentially connected murders.
GOLDEN IN DEATH,JD Robb,Date non disponible,The 50th book of the In Death series. Eve Dallas seeks the sender of packages that give off toxic airborne fumes.
OUTFOX,Sandra Brown,Date non disponible,F.B.I. Agent Drex Easton has a hunch that the conman Weston Graham is also a serial killer.
THE GUARDIANS,John Grisham,Date non disponible,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
THE COWBOY'S LADY,Debbie Macomber,Date non disponible,"Squabbling may lead to romance between a teacher and a rancher living in Cougar Point, Mont. Includes “Small-Town Nanny,” by Lee Tobin McClain."
REDEMPTION,David Baldacci,Date non disponible,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.
THE TITANIC SECRET,Clive Cussler and Jack Du Brul,Date non disponible,The 11th book in the Isaac Bell series. Dirk Pitt finds a document that brings a mystery from 1911 back to life.
THE CORNWALLS VANISH,James Patterson and Brendan DuBois,Date non disponible,An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.
LABYRINTH,Catherine Coulter,Date non disponible,The 23rd book in the F.B.I. Thriller series. Agents Savich and Sherlock wend their way through a maze of lies to get to the bottom of a secret.
THE WARNING,James Patterson and Robison Wells,Date non disponible,A small Southern town is not the same after a power-plant accident.
FEELS LIKE FAMILY,Sherryl Woods,Date non disponible,"The third book in the Sweet Magnolias series. Helen, who is 42 and single, wants to start a family."
DARK ILLUSION,Christine Feehan,Date non disponible,The 33rd book in the Carpathian series. A mage and an ancient warrior must stop a threat against all Carpathians.
